City_or_County,Year,Month,Day,CC_Year,CC_Month,CC_Day,Hour,Minute,Types_of_waters,Drowning_reasons,Drowning_results,Gender,Age,Swimming_skills
Taipei City,2014,1,12,2013,12,12,21,13,Lake,Suicide,Dead,Female,51,No
Taipei City,2014,1,26,2013,12,26,12,47,River,Floating Corpse,Dead,Male,75,Unknown
Taipei City,2014,2,7,2014,1,8,10,59,River,Floating Corpse,Dead,Male,50,Unknown
Taipei City,2014,2,7,2014,1,8,11,44,Lake,Suicide,Dead,Male,85,Yes
Taipei City,2014,2,14,2014,1,15,9,35,River,Floating Corpse,Dead,Male,Unknown,Unknown
Taipei City,2014,2,25,2014,1,26,17,1,River,Suicide,Rescued,Female,60,Unknown
Taipei City,2014,3,8,2014,2,8,6,29,Pond,Suicide,Dead,Female,51,No
Taipei City,2014,3,10,2014,2,10,8,36,River,Work,Dead,Male,52,Unknown
Taipei City,2014,3,19,2014,2,19,8,14,River,Floating Corpse,Dead,Female,70,Unknown
Taipei City,2014,3,27,2014,2,27,0,11,River,Others,Missing,Male,Unknown,Yes
Taipei City,2014,3,28,2014,2,28,17,1,Pond,Suicide,Dead,Female,52,No
Taipei City,2014,3,29,2014,2,29,10,13,River,Suicide,Dead,Female,40,Unknown
Taipei City,2014,4,14,2014,3,15,18,49,River,Suicide,Rescued,Male,70,Unknown
Taipei City,2014,4,16,2014,3,17,10,47,Swimming Pool,Others,Rescued,Female,65,Yes
Taipei City,2014,4,20,2014,3,21,22,18,River,Suicide,Dead,Female,31,Unknown
Taipei City,2014,4,23,2014,3,24,19,59,River,Suicide,Dead,Male,54,Unknown
Taipei City,2014,5,24,2014,4,26,12,49,River,Floating Corpse,Dead,Female,Unknown,Unknown
Taipei City,2014,5,24,2014,4,26,18,36,River,Suicide,Rescued,Male,70,Unknown
Taipei City,2014,5,26,2014,4,28,8,16,River,Floating Corpse,Dead,Female,Unknown,Unknown
Taipei City,2014,5,30,2014,5,2,13,52,River,Others,Dead,Male,70,Unknown
Taipei City,2014,6,8,2014,5,11,9,11,River,Floating Corpse,Dead,Male,Unknown,Unknown
Taipei City,2014,6,10,2014,5,13,13,0,River,Floating Corpse,Dead,Male,70,Unknown
Taipei City,2014,6,10,2014,5,13,14,44,River,Slipping,Rescued,Female,40,Unknown
Taipei City,2014,6,18,2014,5,21,14,12,River,Slipping,Rescued,Male,40,Yes
Taipei City,2014,6,22,2014,5,25,16,44,Dock,Others,Rescued,Female,19,Unknown
Taipei City,2014,7,3,2014,6,7,19,8,River,Floating Corpse,Dead,Male,86,Unknown
Taipei City,2014,7,7,2014,6,11,23,35,Lake,Floating Corpse,Dead,Female,Unknown,Unknown
Taipei City,2014,7,9,2014,6,13,6,3,River,Suicide,Dead,Male,73,Unknown
Taipei City,2014,7,14,2014,6,18,16,8,River,Suicide,Dead,Male,77,Unknown
Taipei City,2014,7,20,2014,6,24,15,54,River,Suicide,Dead,Male,32,Unknown
Taipei City,2014,7,29,2014,7,3,6,43,River,Suicide,Dead,Female,60,Unknown
Taipei City,2014,7,29,2014,7,3,11,27,River,Floating Corpse,Dead,Female,50,Unknown
Taipei City,2014,8,5,2014,7,10,13,48,Dock,Suicide,Rescued,Male,40,Unknown
Taipei City,2014,8,7,2014,7,12,18,5,River,Floating Corpse,Dead,Female,60,Unknown
Taipei City,2014,8,8,2014,7,13,9,11,River,Floating Corpse,Dead,Male,74,Unknown
Taipei City,2014,8,8,2014,7,13,16,44,River,Suicide,Rescued,Male,52,Yes
Taipei City,2014,8,21,2014,7,26,17,2,River,Floating Corpse,Dead,Female,50,Unknown
Taipei City,2014,8,28,2014,8,4,19,16,Dock,Suicide,Dead,Male,Unknown,Unknown
Taipei City,2014,8,29,2014,8,5,5,37,River,Floating Corpse,Dead,Male,40,Unknown
Taipei City,2014,8,31,2014,8,7,19,12,Swimming Pool,Playing,Rescued,Female,38,No
Taipei City,2014,9,1,2014,8,8,11,41,Dock,Floating Corpse,Dead,Male,60,Unknown
Taipei City,2014,9,17,2014,8,24,7,23,River,Floating Corpse,Dead,Female,50,Unknown
Taipei City,2014,10,19,2014,9,26,14,22,Swimming Pool,Others,Rescued,Male,14,Yes
Taipei City,2014,10,26,2014,0,3,5,53,River,Floating Corpse,Dead,Female,Unknown,Unknown
Taipei City,2014,10,31,2014,0,8,19,27,Lake,Others,Dead,Male,21,Yes
Taipei City,2014,11,8,2014,0,16,15,50,River,Floating Corpse,Dead,Female,Unknown,Unknown
Taipei City,2014,11,21,2014,0,29,11,22,Dock,Floating Corpse,Dead,Female,30,Unknown
Taipei City,2014,12,2,2014,10,11,21,26,River,Suicide,Dead,Male,70,Unknown
Taipei City,2014,12,5,2014,10,14,20,5,Pond,Suicide,Rescued,Female,75,Unknown
New Taipei City,2014,1,1,2013,12,1,18,10,Offshore (<1km),Capsizing,Rescued,Male,29,Unknown
New Taipei City,2014,1,1,2013,12,1,18,10,Offshore (<1km),Capsizing,Rescued,Male,68,Unknown
New Taipei City,2014,1,1,2013,12,1,18,10,Offshore (<1km),Capsizing,Rescued,Male,38,Unknown
New Taipei City,2014,1,1,2013,12,1,18,10,Offshore (<1km),Capsizing,Rescued,Male,Unknown,Unknown
New Taipei City,2014,1,1,2013,12,1,18,10,Offshore (<1km),Capsizing,Rescued,Male,66,Unknown
New Taipei City,2014,1,5,2013,12,5,7,7,Offshore (>1km),Capsizing,Rescued,Male,57,Unknown
New Taipei City,2014,1,5,2013,12,5,7,7,Offshore (>1km),Capsizing,Rescued,Male,57,Unknown
New Taipei City,2014,1,10,2013,12,10,10,34,River,Floating Corpse,Dead,Male,52,Unknown
New Taipei City,2014,1,11,2013,12,11,6,49,River,Suicide,Rescued,Female,30,Unknown
New Taipei City,2014,1,13,2013,12,13,6,28,Ditch,Suicide,Rescued,Female,30,Unknown
New Taipei City,2014,1,27,2013,12,27,14,56,River,Slipping,Dead,Male,8,Unknown
New Taipei City,2014,2,6,2014,1,7,11,7,River,Suicide,Dead,Female,40,Unknown
New Taipei City,2014,2,7,2014,1,8,13,52,River,Suicide,Rescued,Female,60,Unknown
New Taipei City,2014,2,22,2014,1,23,18,11,River,Floating Corpse,Dead,Male,82,Unknown
New Taipei City,2014,2,27,2014,1,28,0,0,River,Others,Rescued,Male,63,Unknown
New Taipei City,2014,2,27,2014,1,28,10,57,River,Suicide,Rescued,Male,60,Unknown
New Taipei City,2014,3,2,2014,2,2,2,17,Offshore (<1km),Capsizing,Rescued,Male,40,Unknown
New Taipei City,2014,3,2,2014,2,2,2,17,Offshore (<1km),Capsizing,Rescued,Male,31,Unknown
New Taipei City,2014,3,2,2014,2,2,2,17,Offshore (<1km),Capsizing,Rescued,Male,65,Unknown
New Taipei City,2014,3,2,2014,2,2,2,17,Offshore (<1km),Capsizing,Rescued,Male,27,Unknown
New Taipei City,2014,3,2,2014,2,2,2,17,Offshore (<1km),Floating Corpse,Rescued,Male,34,Unknown
New Taipei City,2014,3,2,2014,2,2,2,17,Offshore (<1km),Capsizing,Rescued,Male,31,Unknown
New Taipei City,2014,3,2,2014,2,2,2,17,Offshore (<1km),Capsizing,Rescued,Male,43,Unknown
New Taipei City,2014,3,2,2014,2,2,2,17,Offshore (<1km),Capsizing,Rescued,Male,69,Unknown
New Taipei City,2014,3,2,2014,2,2,2,17,Offshore (<1km),Capsizing,Rescued,Male,28,Unknown
New Taipei City,2014,3,2,2014,2,2,2,17,Offshore (<1km),Capsizing,Rescued,Male,42,Unknown
New Taipei City,2014,3,2,2014,2,2,2,17,Offshore (<1km),Capsizing,Rescued,Male,28,Unknown
New Taipei City,2014,3,2,2014,2,2,2,17,Offshore (<1km),Capsizing,Rescued,Male,31,Unknown
New Taipei City,2014,3,3,2014,2,3,10,50,Offshore (<1km),Others,Dead,Female,60,Unknown
New Taipei City,2014,3,6,2014,2,6,8,43,River,Suicide,Rescued,Female,50,Unknown
New Taipei City,2014,3,13,2014,2,13,14,40,River,Floating Corpse,Dead,Unknown,Unknown,Unknown
New Taipei City,2014,3,15,2014,2,15,13,2,Ditch,Others,Dead,Male,47,Yes
New Taipei City,2014,3,18,2014,2,18,11,13,Offshore (>1km),Work,Dead,Male,74,Unknown
New Taipei City,2014,3,19,2014,2,19,18,51,Offshore (<1km),Others,Rescued,Male,37,Unknown
New Taipei City,2014,3,25,2014,2,25,20,34,River,Suicide,Dead,Male,35,Unknown
New Taipei City,2014,3,28,2014,2,28,7,7,River,Others,Rescued,Female,70,Unknown
New Taipei City,2014,3,30,2014,2,30,15,12,Offshore (<1km),Snorkeling,Rescued,Male,46,Yes
New Taipei City,2014,3,30,2014,2,30,15,12,Offshore (<1km),Snorkeling,Rescued,Male,45,Yes
New Taipei City,2014,3,30,2014,2,30,20,9,River,Slipping,Rescued,Female,17,Unknown
New Taipei City,2014,4,4,2014,3,5,15,4,Offshore (<1km),Playing,Rescued,Male,39,Unknown
New Taipei City,2014,4,5,2014,3,6,13,0,River,Playing,Dead,Male,14,Unknown
New Taipei City,2014,4,5,2014,3,6,13,0,River,Playing,Dead,Male,14,Unknown
New Taipei City,2014,4,9,2014,3,10,17,37,Offshore (<1km),Suicide,Rescued,Female,36,Unknown
New Taipei City,2014,4,12,2014,3,13,23,40,River,Suicide,Dead,Female,28,Unknown
New Taipei City,2014,4,15,2014,3,16,0,0,Offshore (<1km),Playing,Rescued,Male,25,Yes
New Taipei City,2014,4,15,2014,3,16,19,33,River,Slipping,Rescued,Female,17,Unknown
New Taipei City,2014,4,20,2014,3,21,22,8,River,Suicide,Dead,Female,Unknown,Unknown
New Taipei City,2014,4,23,2014,3,24,20,16,Lake,Suicide,Dead,Male,69,Unknown
New Taipei City,2014,4,29,2014,4,1,6,0,River,Floating Corpse,Dead,Male,30,Unknown
New Taipei City,2014,5,5,2014,4,7,0,31,River,Suicide,Dead,Female,61,Unknown
New Taipei City,2014,5,8,2014,4,10,11,14,Offshore (<1km),Floating Corpse,Dead,Unknown,Unknown,Unknown
New Taipei City,2014,5,11,2014,4,13,10,26,River,Snorkeling,Rescued,Male,15,Unknown
New Taipei City,2014,5,12,2014,4,14,18,42,River,Suicide,Rescued,Female,Unknown,Unknown
New Taipei City,2014,5,13,2014,4,15,1,12,River,Suicide,Missing,Female,57,Unknown
New Taipei City,2014,5,13,2014,4,15,13,31,Offshore (>1km),Capsizing,Rescued,Male,42,Yes
New Taipei City,2014,5,13,2014,4,15,13,31,Offshore (>1km),Capsizing,Rescued,Male,61,Yes
New Taipei City,2014,5,13,2014,4,15,13,31,Offshore (>1km),Capsizing,Rescued,Male,41,Yes
New Taipei City,2014,5,13,2014,4,15,13,31,Offshore (>1km),Capsizing,Rescued,Male,58,Yes
New Taipei City,2014,5,13,2014,4,15,14,18,River,Floating Corpse,Dead,Female,50,Unknown
New Taipei City,2014,5,17,2014,4,19,14,20,River,Playing,Rescued,Female,73,Unknown
New Taipei City,2014,5,21,2014,4,23,5,0,Lake,Others,Missing,Unknown,Unknown,Unknown
New Taipei City,2014,5,23,2014,4,25,12,48,River,Others,Missing,Female,Unknown,Unknown
New Taipei City,2014,5,28,2014,4,30,0,57,River,Suicide,Rescued,Male,47,Unknown
New Taipei City,2014,5,28,2014,4,30,19,48,River,Suicide,Rescued,Male,31,Unknown
New Taipei City,2014,6,3,2014,5,6,21,20,River,Floating Corpse,Dead,Male,37,Unknown
New Taipei City,2014,6,6,2014,5,9,10,5,River,Suicide,Dead,Male,58,Unknown
New Taipei City,2014,6,9,2014,5,12,19,4,Offshore (<1km),Others,Dead,Male,Unknown,Unknown
New Taipei City,2014,6,12,2014,5,15,3,29,Lake,Others,Missing,Unknown,Unknown,Unknown
New Taipei City,2014,6,12,2014,5,15,6,42,River,Slipping,Dead,Male,63,Unknown
New Taipei City,2014,6,13,2014,5,16,6,59,River,Capsizing,Dead,Male,59,Unknown
New Taipei City,2014,6,13,2014,5,16,13,37,River,Suicide,Rescued,Female,Unknown,Unknown
New Taipei City,2014,6,18,2014,5,21,10,58,Ditch,Fishing,Missing,Unknown,Unknown,Unknown
New Taipei City,2014,6,19,2014,5,22,6,37,River,Floating Corpse,Dead,Male,36,Unknown
New Taipei City,2014,6,19,2014,5,22,15,3,River,Playing,Rescued,Male,15,Unknown
New Taipei City,2014,6,20,2014,5,23,11,1,River,Suicide,Rescued,Male,21,Unknown
New Taipei City,2014,6,20,2014,5,23,12,3,River,Suicide,Rescued,Male,37,Unknown
New Taipei City,2014,6,21,2014,5,24,0,0,Offshore (<1km),Snorkeling,Dead,Male,39,Yes
New Taipei City,2014,6,22,2014,5,25,11,29,Offshore (<1km),Snorkeling,Dead,Male,72,Yes
New Taipei City,2014,6,23,2014,5,26,15,37,River,Suicide,Dead,Female,Unknown,Unknown
New Taipei City,2014,6,25,2014,5,28,0,59,River,Others,Rescued,Female,26,Unknown
New Taipei City,2014,6,26,2014,5,29,8,41,River,Floating Corpse,Dead,Female,50,Unknown
New Taipei City,2014,6,27,2014,6,1,0,8,Lake,Others,Missing,Unknown,Unknown,Unknown
New Taipei City,2014,6,27,2014,6,1,22,19,River,Slipping,Rescued,Male,57,Unknown
New Taipei City,2014,6,29,2014,6,3,16,26,Dock,Floating Corpse,Dead,Male,Unknown,Unknown
New Taipei City,2014,7,3,2014,6,7,2,39,River,Fishing,Dead,Male,61,Unknown
New Taipei City,2014,7,3,2014,6,7,20,44,River,Suicide,Rescued,Female,50,Unknown
New Taipei City,2014,7,9,2014,6,13,11,43,River,Others,Rescued,Female,Unknown,Unknown
New Taipei City,2014,7,10,2014,6,14,14,42,Offshore (<1km),Capsizing,Rescued,Female,Unknown,Unknown
New Taipei City,2014,7,10,2014,6,14,17,16,Offshore (<1km),Fishing,Rescued,Male,53,Unknown
New Taipei City,2014,7,11,2014,6,15,8,20,River,Floating Corpse,Dead,Male,79,Unknown
New Taipei City,2014,7,13,2014,6,17,15,13,River,Playing,Rescued,Male,21,Unknown
New Taipei City,2014,7,13,2014,6,17,15,13,River,Playing,Rescued,Male,18,Unknown
New Taipei City,2014,7,13,2014,6,17,15,30,River,Playing,Rescued,Male,52,Unknown
New Taipei City,2014,7,14,2014,6,18,17,35,Lake,Suicide,Rescued,Female,52,Unknown
New Taipei City,2014,7,14,2014,6,18,20,7,Offshore (<1km),Others,Dead,Male,36,Yes
New Taipei City,2014,7,15,2014,6,19,6,39,River,Suicide,Dead,Male,34,Unknown
New Taipei City,2014,7,16,2014,6,20,1,27,River,Suicide,Rescued,Male,27,Unknown
New Taipei City,2014,7,17,2014,6,21,4,25,River,Floating Corpse,Dead,Female,36,Unknown
New Taipei City,2014,7,19,2014,6,23,15,12,Offshore (<1km),Playing,Rescued,Male,85,Yes
New Taipei City,2014,7,20,2014,6,24,15,57,River,Suicide,Missing,Female,Unknown,Unknown
New Taipei City,2014,7,21,2014,6,25,10,13,Offshore (<1km),Playing,Rescued,Male,27,Yes
New Taipei City,2014,7,24,2014,6,28,9,13,River,Suicide,Rescued,Female,60,Unknown
New Taipei City,2014,7,25,2014,6,29,2,54,River,Slipping,Rescued,Female,30,Unknown
New Taipei City,2014,7,25,2014,6,29,4,57,River,Suicide,Dead,Male,Unknown,Unknown
New Taipei City,2014,7,25,2014,6,29,7,9,Ditch,Suicide,Dead,Female,37,Unknown
New Taipei City,2014,7,26,2014,6,30,0,0,Offshore (<1km),Others,Dead,Male,84,Unknown
New Taipei City,2014,7,26,2014,6,30,17,15,Offshore (>1km),Floating Corpse,Dead,Male,46,Unknown
New Taipei City,2014,8,3,2014,7,8,18,14,River,Suicide,Dead,Female,45,Unknown
New Taipei City,2014,8,3,2014,7,8,18,49,River,Suicide,Rescued,Female,39,Unknown
New Taipei City,2014,8,7,2014,7,12,9,55,Offshore (>1km),Others,Dead,Male,55,Yes
New Taipei City,2014,8,7,2014,7,12,10,19,River,Floating Corpse,Dead,Male,65,Unknown
New Taipei City,2014,8,11,2014,7,16,9,36,Lake,Floating Corpse,Dead,Female,Unknown,Unknown
New Taipei City,2014,8,11,2014,7,16,13,6,Offshore (<1km),Floating Corpse,Dead,Female,30,Unknown
New Taipei City,2014,8,13,2014,7,18,13,5,Offshore (<1km),Playing,Rescued,Male,22,Unknown
New Taipei City,2014,8,15,2014,7,20,11,36,River,Slipping,Rescued,Female,60,Unknown
New Taipei City,2014,8,16,2014,7,21,22,44,River,Suicide,Rescued,Female,44,Unknown
New Taipei City,2014,8,16,2014,7,21,23,25,Offshore (>1km),Work,Dead,Male,51,Unknown
New Taipei City,2014,8,17,2014,7,22,4,52,Ditch,Playing,Rescued,Female,38,Unknown
New Taipei City,2014,8,17,2014,7,22,8,31,River,Suicide,Dead,Male,50,Unknown
New Taipei City,2014,8,20,2014,7,25,12,46,Offshore (<1km),Snorkeling,Rescued,Female,30,Yes
New Taipei City,2014,8,24,2014,7,29,14,37,Offshore (<1km),Others,Rescued,Female,36,Unknown
New Taipei City,2014,8,24,2014,7,29,14,37,Offshore (<1km),Others,Rescued,Male,62,Unknown
New Taipei City,2014,8,27,2014,8,3,9,24,Offshore (<1km),Floating Corpse,Dead,Female,62,Unknown
New Taipei City,2014,8,28,2014,8,4,22,56,River,Others,Dead,Male,50,Unknown
New Taipei City,2014,8,30,2014,8,6,14,30,River,Playing,Dead,Male,8,Unknown
New Taipei City,2014,8,30,2014,8,6,16,18,River,Playing,Rescued,Male,22,Unknown
New Taipei City,2014,9,2,2014,8,9,20,15,River,Others,Rescued,Female,38,Unknown
New Taipei City,2014,9,6,2014,8,13,16,44,Offshore (<1km),Playing,Rescued,Male,31,Yes
New Taipei City,2014,9,6,2014,8,13,16,44,Offshore (<1km),Playing,Rescued,Male,49,Yes
New Taipei City,2014,9,6,2014,8,13,22,16,River,Others,Rescued,Female,34,Unknown
New Taipei City,2014,9,7,2014,8,14,12,27,River,Playing,Rescued,Male,17,Unknown
New Taipei City,2014,9,7,2014,8,14,14,10,River,Slipping,Dead,Female,47,Unknown
New Taipei City,2014,9,10,2014,8,17,12,14,River,Playing,Dead,Male,18,Unknown
New Taipei City,2014,9,10,2014,8,17,18,8,Offshore (<1km),Others,Rescued,Female,37,Unknown
New Taipei City,2014,9,11,2014,8,18,16,38,River,Suicide,Dead,Male,Unknown,Unknown
New Taipei City,2014,9,12,2014,8,19,9,13,River,Others,Dead,Male,68,Unknown
New Taipei City,2014,9,13,2014,8,20,10,42,Offshore (<1km),Snorkeling,Rescued,Male,39,Yes
New Taipei City,2014,9,16,2014,8,23,7,17,Offshore (<1km),Floating Corpse,Dead,Male,51,Unknown
New Taipei City,2014,9,17,2014,8,24,11,7,River,Suicide,Dead,Female,60,Unknown
New Taipei City,2014,9,19,2014,8,26,14,8,River,Suicide,Rescued,Male,Unknown,Unknown
New Taipei City,2014,9,23,2014,8,30,22,47,River,Others,Rescued,Female,Unknown,Unknown
New Taipei City,2014,9,29,2014,9,6,5,5,River,Others,Rescued,Female,31,Unknown
New Taipei City,2014,9,30,2014,9,7,12,40,River,Suicide,Dead,Male,41,Unknown
New Taipei City,2014,10,1,2014,9,8,10,15,Swimming Pool,Others,Dead,Female,50,Unknown
New Taipei City,2014,10,2,2014,9,9,16,4,Offshore (<1km),Others,Rescued,Female,43,Unknown
New Taipei City,2014,10,2,2014,9,9,16,4,Offshore (<1km),Others,Rescued,Female,22,Unknown
New Taipei City,2014,10,4,2014,9,11,18,27,Offshore (<1km),Fishing,Dead,Male,34,Unknown
New Taipei City,2014,10,4,2014,9,11,18,27,Offshore (<1km),Fishing,Missing,Male,42,Unknown
New Taipei City,2014,10,4,2014,9,11,18,27,Offshore (<1km),Fishing,Rescued,Male,31,Unknown
New Taipei City,2014,10,5,2014,9,12,6,17,Offshore (<1km),Slipping,Rescued,Male,57,Unknown
New Taipei City,2014,10,5,2014,9,12,17,19,Offshore (<1km),Fishing,Rescued,Male,61,Unknown
New Taipei City,2014,10,7,2014,9,14,0,23,River,Suicide,Rescued,Male,25,Unknown
New Taipei City,2014,10,10,2014,9,17,15,19,River,Floating Corpse,Dead,Female,Unknown,Unknown
New Taipei City,2014,10,10,2014,9,17,17,28,Ditch,Others,Dead,Male,60,Unknown
New Taipei City,2014,10,11,2014,9,18,9,19,Offshore (<1km),Fishing,Missing,Male,Unknown,Unknown
New Taipei City,2014,10,11,2014,9,18,11,10,Offshore (<1km),Floating Corpse,Dead,Male,Unknown,Unknown
New Taipei City,2014,10,12,2014,9,19,11,50,Offshore (<1km),Others,Rescued,Male,66,Unknown
New Taipei City,2014,10,12,2014,9,19,11,50,Offshore (<1km),Others,Rescued,Male,67,Unknown
New Taipei City,2014,10,12,2014,9,19,22,33,Offshore (<1km),Fishing,Missing,Male,Unknown,Unknown
New Taipei City,2014,10,12,2014,9,19,22,33,Offshore (<1km),Fishing,Rescued,Male,34,Unknown
New Taipei City,2014,10,13,2014,9,20,12,24,Lake,Suicide,Rescued,Female,77,Unknown
New Taipei City,2014,10,13,2014,9,20,17,43,Offshore (<1km),Fishing,Rescued,Male,58,Unknown
New Taipei City,2014,10,13,2014,9,20,17,43,Offshore (<1km),Fishing,Dead,Male,59,Unknown
New Taipei City,2014,10,14,2014,9,21,15,3,River,Floating Corpse,Dead,Unknown,Unknown,Unknown
New Taipei City,2014,10,15,2014,9,22,9,39,River,Others,Missing,Unknown,Unknown,Unknown
New Taipei City,2014,10,16,2014,9,23,12,54,Offshore (<1km),Floating Corpse,Dead,Male,Unknown,Unknown
New Taipei City,2014,10,17,2014,9,24,19,7,River,Floating Corpse,Dead,Female,40,Unknown
New Taipei City,2014,10,26,2014,0,3,19,29,Offshore (<1km),Fishing,Dead,Male,Unknown,Unknown
New Taipei City,2014,10,27,2014,0,4,11,26,River,Suicide,Rescued,Female,39,Unknown
New Taipei City,2014,10,28,2014,0,5,1,1,River,Suicide,Rescued,Female,Unknown,Unknown
New Taipei City,2014,10,30,2014,0,7,0,0,River,Suicide,Dead,Male,70,Unknown
New Taipei City,2014,11,1,2014,0,9,16,14,Offshore (<1km),Suicide,Rescued,Female,Unknown,Unknown
New Taipei City,2014,11,5,2014,0,13,14,43,River,Suicide,Rescued,Female,56,Unknown
New Taipei City,2014,11,11,2014,0,19,14,0,Offshore (<1km),Floating Corpse,Dead,Male,Unknown,Unknown
New Taipei City,2014,11,13,2014,0,21,8,57,River,Floating Corpse,Dead,Male,50,Unknown
New Taipei City,2014,11,13,2014,0,21,16,44,Offshore (<1km),Slipping,Rescued,Female,64,Unknown
New Taipei City,2014,11,15,2014,0,23,5,3,River,Suicide,Rescued,Male,Unknown,Unknown
New Taipei City,2014,11,16,2014,0,24,16,46,River,Others,Dead,Male,56,Unknown
New Taipei City,2014,11,18,2014,0,26,9,55,River,Floating Corpse,Dead,Female,62,Unknown
New Taipei City,2014,11,21,2014,0,29,10,20,Swimming Pool,Slipping,Rescued,Male,65,Unknown
New Taipei City,2014,11,22,2014,10,1,12,13,River,Floating Corpse,Dead,Male,60,Unknown
New Taipei City,2014,11,22,2014,10,1,22,20,River,Suicide,Rescued,Female,Unknown,Unknown
New Taipei City,2014,11,24,2014,10,3,12,25,River,Floating Corpse,Dead,Female,76,Unknown
New Taipei City,2014,12,6,2014,10,15,10,11,Offshore (<1km),Fishing,Dead,Male,60,Unknown
New Taipei City,2014,12,12,2014,10,21,12,49,River,Suicide,Rescued,Male,36,Unknown
New Taipei City,2014,12,19,2014,10,28,23,21,Offshore (>1km),Capsizing,Rescued,Male,44,Unknown
New Taipei City,2014,12,19,2014,10,28,23,21,Offshore (>1km),Capsizing,Rescued,Male,29,Unknown
New Taipei City,2014,12,19,2014,10,28,23,21,Offshore (>1km),Capsizing,Rescued,Male,31,Unknown
New Taipei City,2014,12,19,2014,10,28,23,21,Offshore (>1km),Capsizing,Rescued,Male,32,Unknown
New Taipei City,2014,12,19,2014,10,28,23,21,Offshore (>1km),Capsizing,Rescued,Male,Unknown,Unknown
New Taipei City,2014,12,19,2014,10,28,23,21,Offshore (>1km),Capsizing,Missing,Male,20,Unknown
New Taipei City,2014,12,19,2014,10,28,23,21,Offshore (>1km),Capsizing,Rescued,Male,26,Unknown
New Taipei City,2014,12,19,2014,10,28,23,21,Offshore (>1km),Capsizing,Dead,Male,71,Unknown
New Taipei City,2014,12,19,2014,10,28,23,21,Offshore (>1km),Capsizing,Rescued,Male,28,Unknown
New Taipei City,2014,12,19,2014,10,28,23,21,Offshore (>1km),Capsizing,Rescued,Male,36,Unknown
New Taipei City,2014,12,19,2014,10,28,23,21,Offshore (>1km),Capsizing,Missing,Male,Unknown,Unknown
New Taipei City,2014,12,24,2014,11,3,8,23,Offshore (<1km),Others,Dead,Male,53,Unknown
New Taipei City,2014,12,27,2014,11,6,14,29,River,Others,Rescued,Female,49,Unknown
Taichung City,2014,2,10,2014,1,11,8,27,Ditch,Traffic Accident,Dead,Male,Unknown,Unknown
Taichung City,2014,2,12,2014,1,13,5,18,Ditch,Traffic Accident,Rescued,Female,38,Unknown
Taichung City,2014,2,12,2014,1,13,5,18,Ditch,Traffic Accident,Rescued,Male,37,Unknown
Taichung City,2014,2,12,2014,1,13,5,18,Ditch,Traffic Accident,Rescued,Female,6,Unknown
Taichung City,2014,2,12,2014,1,13,5,18,Ditch,Traffic Accident,Rescued,Female,60,Unknown
Taichung City,2014,2,12,2014,1,13,5,18,Ditch,Traffic Accident,Rescued,Male,4,Unknown
Taichung City,2014,2,21,2014,1,22,21,17,Ditch,Traffic Accident,Dead,Male,43,Yes
Taichung City,2014,2,24,2014,1,25,15,43,Ditch,Slipping,Dead,Male,78,Unknown
Taichung City,2014,3,24,2014,2,24,16,21,River,Others,Dead,Male,Unknown,Unknown
Taichung City,2014,4,27,2014,3,28,12,20,Ditch,Slipping,Dead,Male,86,Unknown
Taichung City,2014,5,3,2014,4,5,11,23,Reservoir,Suicide,Dead,Female,24,Unknown
Taichung City,2014,5,15,2014,4,17,16,48,River,Work,Rescued,Male,58,No
Taichung City,2014,5,15,2014,4,17,16,48,River,Work,Rescued,Male,46,Yes
Taichung City,2014,5,15,2014,4,17,19,52,Others,Traffic Accident,Rescued,Female,10,Unknown
Taichung City,2014,5,15,2014,4,17,19,52,Others,Traffic Accident,Dead,Female,36,Unknown
Taichung City,2014,5,15,2014,4,17,19,52,Others,Traffic Accident,Rescued,Male,8,Unknown
Taichung City,2014,5,15,2014,4,17,21,38,Others,Traffic Accident,Rescued,Male,20,Yes
Taichung City,2014,5,15,2014,4,17,21,38,Others,Traffic Accident,Rescued,Male,56,Yes
Taichung City,2014,5,16,2014,4,18,17,56,Ditch,Traffic Accident,Rescued,Male,37,Unknown
Taichung City,2014,6,7,2014,5,10,5,5,Pond,Slipping,Dead,Male,55,No
Taichung City,2014,6,7,2014,5,10,18,40,Ditch,Others,Dead,Male,57,Unknown
Taichung City,2014,6,17,2014,5,20,0,11,River,Fishing,Dead,Male,60,Unknown
Taichung City,2014,7,1,2014,6,5,22,30,Ditch,Slipping,Dead,Male,63,No
Taichung City,2014,7,5,2014,6,9,20,10,Ditch,Suicide,Dead,Female,91,Unknown
Taichung City,2014,7,10,2014,6,14,9,23,River,Suicide,Dead,Male,38,Unknown
Taichung City,2014,7,15,2014,6,19,6,2,River,Others,Dead,Male,31,Unknown
Taichung City,2014,7,30,2014,7,4,1,45,River,Others,Dead,Female,38,Unknown
Taichung City,2014,8,23,2014,7,28,8,38,Lake,Floating Corpse,Dead,Female,60,Unknown
Taichung City,2014,9,13,2014,8,20,17,58,River,Slipping,Dead,Male,8,No
Taichung City,2014,9,15,2014,8,22,6,13,Ditch,Slipping,Dead,Male,65,Unknown
Taichung City,2014,9,18,2014,8,25,6,20,Ditch,Floating Corpse,Dead,Male,Unknown,Unknown
Taichung City,2014,9,18,2014,8,25,10,46,Swimming Pool,Others,Dead,Male,13,No
